"","stats.usersrated","stats.numweights","stats.owned","details.name","stats.average","stats.averageweight","details.yearpublished"
"702",298,26,663,"Screaming Eagles",5.92098,1.3462,1987
"703",6545,729,7188,"Cartagena",6.70984,1.6145,2000
"704",1478,145,1713,"Attila",6.51186,2.5655,2000
"705",328,26,764,"Wizards",6.23018,2.9615,1982
"706",178,23,205,"Battle of the Bands",5.76798,1.4348,2001
"707",638,78,656,"Schrille Stille",6.51615,1.7564,1999
"708",1144,196,3146,"For the People",7.68332,3.6429,1998
"709",626,59,867,"Chronology",6.4329,1.4915,1996
"710",83,6,124,"Election",6.83735,2.8333,1972
"711",135,16,411,"New England Railways",6.76111,2.625,2000
"712",499,43,712,"Corsairs",6.08477,1.6977,2000
"713",274,21,470,"Razzia",6.3546,1.4286,1992
